"mun";"lei";"desc";"link";"UF";"lei_ord";"ata";"decreto";"medida";"oficio";"portaria";"resolucao";"data";"codmun";"id_munic_7";"id_estado"
"Parobé";"Decreto Nº 58 de 10 de junho de 2020";"Abre Crédito Extraordinário ao Orçamento do exercício de 2020.";"http://leismunicipa.is/yifpg";"RS";0;0;1;0;0;0;0;2020-06-10;431405;4314050;43
"Monte Alegre dos Campos";"Decreto Nº 1763 de 9 de junho de 2020";"Abre crédito adicional - extraordinário - abertos no Orçamento programa de 2020.";"http://leismunicipa.is/pcday";"RS";0;0;1;0;0;0;0;2020-06-09;431237;4312377;43
"Sangão";"Lei Ordinária Nº 941 de 9 de junho de 2020";"AUTORIZA O CHEFE DO PODER EXECUTIVO A ABRIR CRÉDITO ADICIONAL ESPECIAL AO ORÇAMENTO DO FUNDO MUNICIPAL DE SAÚDE DO EXERCÍCIO DE 2020, POR CONTA DO ENFRENTAMENTO DA EMERGÊNCIA DE SA...";"http://leismunicipa.is/pfhgy";"SC";1;0;0;0;0;0;0;2020-06-09;421545;4215455;42
"Piraquara";"Decreto Nº 8409 de 9 de junho de 2020";"Altera medidas relativas às regras de funcionamento dos estabelecimentos comerciais e medidas de prevenção e combate à pandemia do COVID-19.";"http://leismunicipa.is/gcypd";"PR";0;0;1;0;0;0;0;2020-06-09;411950;4119509;41
"Guarujá";"Decreto Nº 13709 de 9 de junho de 2020";"Posterga o prazo para pagamento do Imposto Predial e Territorial Urbano - IPTU dos Hotéis e Pousadas em razão da pandemia do coronavírus e fixa outras providências";"http://leismunicipa.is/bphey";"SP";0;0;1;0;0;0;0;2020-06-09;351870;3518701;35
"Caçador";"Decreto Nº 8771 de 9 de junho de 2020";"Abre Cr?dito Adicional, no Or?amento Geral da Prefeitura Municipal de Ca?ador, Exerc?cio de 2020.";"http://leismunicipa.is/iycdp";"SC";0;0;1;0;0;0;0;2020-06-09;420300;4203006;42
"Paial";"Lei Complementar Nº 58 de 9 de junho de 2020";"""CONTATOINSTITUI PROGRAMA DE RECUPERAÇÃO FISCAL COMO MEDIDA DE ENFRENTAMENTO A PANDEMIA COVID-19 - REFIS/COVID-19, E DÁ OUTRAS PROVIDÊNCIAS"".";"http://leismunicipa.is/eydip";"SC";1;0;0;0;0;0;0;2020-06-09;421187;4211876;42
"Guaraniaçu";"Lei Ordinária Nº 1288 de 9 de junho de 2020";"SÚMULA: Dispõe sobre abertura de Crédito Adicional Suplementar, Especial e estabelece outras providências.";"http://leismunicipa.is/pgcyh";"PR";1;0;0;0;0;0;0;2020-06-09;410930;4109302;41
"Salvador";"Decreto Nº 32486 de 9 de junho de 2020";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/hdjpy";"BA";0;0;1;0;0;0;0;2020-06-09;292740;2927408;29
"Barra do Guarita";"Lei Ordinária Nº 1639 de 9 de junho de 2020";"Autoriza o Município de Barra do Guarita a firmar convênio com o Consórcio de Saúde Intermunicipal ?"" CONSIM com o intuito de unir esforços para o enfretamento da emergência de saú...";"http://leismunicipa.is/dcyap";"RS";1;0;0;0;0;0;0;2020-06-09;430185;4301859;43
"Novo Hamburgo";"Decreto Nº 9267 de 9 de junho de 2020";"Altera o artigo 2º do Decreto nº 9.212, de 17 de abril de 2020, que Cria a Central de Fiscalização, de natureza temporária, para intensificar as ações fiscalizatórias em estabeleci...";"http://leismunicipa.is/lnymo";"RS";0;0;1;0;0;0;0;2020-06-09;431340;4313409;43
"Veranópolis";"Lei Ordinária Nº 7529 de 9 de junho de 2020";"AUTORIZA O MUNICÍPIO REPASSAR RECURSOS FINANCEIROS À ASSOCIAÇÃO VERANENSE DE ASSISTÊNCIA EM SAÚDE - AVAES.";"http://leismunicipa.is/pyhfa";"RS";1;0;0;0;0;0;0;2020-06-09;432280;4322806;43
"Veranópolis";"Decreto Nº 6635 de 9 de junho de 2020";"ALTERA O DECRETO QUE ESTABELECE NORMAS SANITÁRIAS A SEREM ADOTADAS NO MUNICÍPIO DE VERANÓPOLIS  PELO MESMO PERÍODO QUE PERDURAR A CALAMIDADE PÚBLICA NO MUNICÍPIO DE VERANÓPOLIS  DE...";"http://leismunicipa.is/pyfha";"RS";0;0;1;0;0;0;0;2020-06-09;432280;4322806;43
"Primavera do Leste";"Decreto Nº 1930 de 9 de junho de 2020";"<U+0093>DISPÕE SOBRE ALTERAÇÕES AO DECRETO MUNICIPAL Nº 1.901 DE 23 DE MARÇO DE 2020, TRAZ NOVAS MEDIDAS TEMPORÁRIAS DE PREVENÇÃO E ENFRENTAMENTO DA PROPAGAÇÃO DECORRENTE DO NOVO CORONAVI...";"http://leismunicipa.is/dhype";"MT";0;0;1;0;0;0;0;2020-06-09;510704;5107040;51
"Mostardas";"Decreto Nº 8388 de 9 de junho de 2020";"ALTERA O DECRETO Nº 8.348, DE 16 DE ABRIL DE 2020, QUE REITEROU A DECLARAÇÃO DE ESTADO DE CALAMIDADE PÚBLICA NO MUNICIPIO DE MOSTARDAS PARA FINS DE PREVENÇÃO E DE ENFRENTAMENTO À E...";"http://leismunicipa.is/hfpyg";"RS";0;0;1;0;0;0;0;2020-06-09;431250;4312500;43
"Nova Palma";"Lei Ordinária Nº 1843 de 9 de junho de 2020";"Autoriza o Poder Executivo a firmar convênio com a Associação Hospital Nossa Senhora da Piedade para transferência de recursos  e dá outras providências";"http://leismunicipa.is/dcypa";"RS";1;0;0;0;0;0;0;2020-06-09;431310;4313102;43
"Forquilhinha";"Decreto Nº 63 de 9 de junho de 2020";"AUTORIZA A CIRCULAÇÃO DE VEÍCULOS DE TRANSPORTE RODOVIÁRIO COM CARACTERÍSTICAS URBANAS (MUNICIPAL) NO ÂMBITO DO MUNICÍPIO DE FORQUILHINHA.";"http://leismunicipa.is/yipbd";"SC";0;0;1;0;0;0;0;2020-06-09;420545;4205456;42
